10,Hz=1,10.0305
15,Hz=1,10.4568
20,Hz=1,9.2027
25,Hz=1,10.4553
30,Hz=1,9.1718
35,Hz=1,8.112
40,Hz=1,8.1954
45,Hz=1,2.7446
50,Hz=1,0.4332
55,Hz=1,1.5688
60,Hz=1,9.9762
65,Hz=1,11.167
70,Hz=1,1.8852
75,Hz=1,2.2038
80,Hz=1,0.287
85,Hz=1,8.5526
90,Hz=1,11.3435
95,Hz=1,12.0424
100,Hz=1,0.9875
105,Hz=1,2.575
110,Hz=1,1.1975
115,Hz=1,1.5481
120,Hz=1,3.446
125,Hz=1,2.0866
130,Hz=1,1.7511
10,Hz=2,8.2649
15,Hz=2,9.5675
20,Hz=2,9.2392
25,Hz=2,12.9158
30,Hz=2,8.3634
35,Hz=2,15.4466
40,Hz=2,13.9125
45,Hz=2,0.9225
50,Hz=2,0.9251
55,Hz=2,0.4665
60,Hz=2,13.5825
65,Hz=2,12.9052
70,Hz=2,0.9544
75,Hz=2,1.6647
80,Hz=2,0.9205
85,Hz=2,13.688
90,Hz=2,20.0302
95,Hz=2,7.8686
100,Hz=2,3.7052
105,Hz=2,1.9117
110,Hz=2,0.8151
115,Hz=2,1.2876
120,Hz=2,2.0726
125,Hz=2,1.8285
130,Hz=2,2.2844
10,Hz=3,8.4387
15,Hz=3,6.9133
20,Hz=3,9.4777
25,Hz=3,9.2712
30,Hz=3,7.1244
35,Hz=3,19.1775
40,Hz=3,13.0055
45,Hz=3,0.5214
50,Hz=3,0.123
55,Hz=3,0.4176
60,Hz=3,9.8028
65,Hz=3,9.7664
70,Hz=3,0.4993
75,Hz=3,0.7932
80,Hz=3,0.625
85,Hz=3,12.3192
90,Hz=3,15.949
95,Hz=3,6.1737
100,Hz=3,1.0253
105,Hz=3,1.6014
110,Hz=3,0.6168
115,Hz=3,0.2444
120,Hz=3,1.8119
125,Hz=3,3.1055
130,Hz=3,1.9639
10,Hz=4,6.4951
15,Hz=4,5.9084
20,Hz=4,10.3489
25,Hz=4,11.6151
